zone_id,latitude,longitude,timestamp,flowrate_lps,pressure_psi,water_supplied_litres,water_consumed_litres,usage_difference,leak,Predicted_Leak
Gudhiyari Zone,21.2473,81.6102,2024-01-01 00:00:00,127.2,49.65,76317.3,73068.25,3249.05,1,1
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 00:10:00,188.3,35.63,112982.91,104467.76,8515.15,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 00:20:00,191.07,44.08,114642.61,100145.27,14497.34,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 00:30:00,125.38,50.86,75229.19,64654.66,10574.53,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 00:40:00,158.25,28.52,94950.27,91400.36,3549.92,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 00:50:00,207.03,26.48,124219.5,115490.64,8728.86,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 01:00:00,132.62,37.18,79573.8,73258.58,6315.22,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 01:10:00,184.13,41.5,110480.15,105015.53,5464.63,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 01:20:00,242.93,45.74,145755.85,128979.65,16776.19,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 01:30:00,117.12,28.22,70272.79,66033.6,4239.2,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 01:40:00,110.72,26.75,66434.84,57464.44,8970.4,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 01:50:00,106.82,36.38,64092.21,59063.03,5029.18,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 02:00:00,117.2,25.6,70319.63,62210.99,8108.65,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 02:10:00,233.17,33.52,139901.39,133233.64,6667.75,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 02:20:00,217.12,38.87,130271.61,113939.12,16332.49,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 02:30:00,74.02,31.78,44412.94,38737.33,5675.61,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 02:40:00,248.19,43.21,148911.36,138652.96,10258.4,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 02:50:00,53.75,58.34,32248.76,28893.48,3355.28,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 03:00:00,72.9,25.71,43740.87,39054.67,4686.2,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 03:10:00,137.76,45.47,82658.8,73610.17,9048.63,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 03:20:00,144.13,31.37,86479.41,84602.78,1876.63,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 03:30:00,212.02,47.33,127210.77,116764.71,10446.06,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 03:40:00,196.83,37.71,118097.66,105084.73,13012.93,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 03:50:00,58.39,38.36,35036.8,34615.63,421.17,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 04:00:00,155.32,56.76,93190.88,84187.52,9003.36,1,1
Telibandha Zone,21.2418,81.6695,2024-01-01 04:10:00,231.63,39.67,138978.06,130326.04,8652.02,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 04:20:00,107.52,46.99,64513.79,56115.1,8398.69,1,1
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 04:30:00,172.62,49.12,103569.09,102515.81,1053.28,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 04:40:00,97.26,52.11,58354.74,53192.03,5162.71,0,1
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 04:50:00,229.93,41.98,137960.25,133116.89,4843.36,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-01 05:00:00,123.5,45.85,74098.77,64421.55,9677.22,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 05:10:00,156.06,28.62,93635.59,88883.78,4751.8,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 05:20:00,228.65,34.03,137189.74,132098.76,5090.98,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 05:30:00,160.22,29.92,96130.02,83157.81,12972.2,0,0
