zone_id,latitude,longitude,Predicted_Leak,flowrate_lps,leak_pressure_psi,timestamp,usage_difference,water_consumed_litres,water_supplied_litres
Zone-1,21.273529,81.634676,0,0.06,25.91,2025-05-29 15:17:48,462.805,15537.447,16000.252
Zone-6,21.276313,81.623754,0,0.096,25.88,2025-06-25 02:33:38,102.184,2471.533,2573.717
Zone-1,21.267206,81.635602,0,0.03,21.75,2025-05-10 15:10:09,79.093,3703.172,3782.265
Zone-9,21.266688,81.612867,0,0.113,25.02,2025-07-12 11:31:14,116.349,2084.445,2200.794
Zone-8,21.241479,81.627527,0,0.136,26.09,2025-03-17 08:21:42,611.136,15206.912,15818.048
Zone-9,21.269861,81.610937,0,0.118,11.79,2025-01-06 17:33:11,123.422,2625.521,2748.943
Zone-5,21.251306,81.615812,0,0.108,25.54,2025-09-30 21:37:38,1453.149,32377.011,33830.161
Zone-12,21.241414,81.655758,0,0.075,11.03,2025-02-20 15:11:04,802.329,22441.969,23244.299
Zone-10,21.24019,81.644261,0,0.089,10.94,2025-05-20 00:27:37,640.203,16451.963,17092.166
Zone-11,21.259385,81.601275,0,0.075,18.56,2025-08-22 02:24:51,361.744,16140.933,16502.677
Zone-2,21.240959,81.613646,0,0.091,24.43,2025-07-04 19:17:12,828.907,15100.541,15929.449
Zone-1,21.271449,81.63726,0,0.016,17.69,2025-08-05 11:23:54,-78.167,7894.876,7816.709
Zone-1,21.264676,81.631911,0,0.104,23.97,2025-06-21 06:46:38,332.915,3931.83,4264.745
Zone-10,21.24426,81.649849,0,0.071,22.35,2025-03-01 14:08:50,906.907,20680.084,21586.991
Zone-12,21.243397,81.65817,1,0.117,11.88,2025-04-06 18:59:00,291.297,9410.182,9701.478
Zone-9,21.26479,81.612041,0,0.123,15.33,2025-06-15 00:28:51,476.0,4489.845,4965.845
Zone-4,21.233762,81.640747,0,0.008,29.09,2025-10-23 19:31:30,572.257,18845.375,19417.632
Zone-6,21.281243,81.620546,0,0.102,24.24,2025-01-26 00:30:29,6.292,23257.576,23263.867
Zone-2,21.248333,81.618479,0,0.012,28.28,2025-02-20 06:09:03,46.251,7307.879,7354.13
Zone-11,21.258865,81.604762,0,0.065,13.84,2025-05-20 12:32:30,299.948,8611.786,8911.734
Zone-11,21.258426,81.592363,0,0.009,29.97,2025-10-27 19:27:58,-12.969,24563.032,24550.063
Zone-4,21.232765,81.635698,0,0.051,23.53,2025-11-02 21:49:12,397.108,10463.704,10860.811
Zone-5,21.256238,81.617807,0,0.013,21.27,2025-07-28 01:26:27,20.686,4097.039,4117.725
Zone-11,21.260993,81.600312,0,0.079,12.54,2025-01-30 06:20:36,39.123,7589.184,7628.306
Zone-11,21.25586,81.59562,0,0.086,13.87,2025-07-13 05:14:55,74.642,2385.371,2460.013
Zone-5,21.257521,81.607493,0,0.108,28.6,2025-08-16 00:29:41,-156.817,15838.528,15681.711
Zone-12,21.228292,81.65613,0,0.036,26.01,2025-03-26 08:57:43,-198.912,20090.065,19891.154
