zone_id,latitude,longitude,Predicted_Leak,flowrate_lps,leak_pressure_psi,timestamp,usage_difference,water_consumed_litres,water_supplied_litres,Dummy_Leak
Zone-1,21.261227,81.628298,0,0.15,24.2,2025-05-29 15:17:48,95.062,25052.718,25147.78,No
Zone-6,21.279972,81.624724,1,2.043,58.28,2025-06-25 02:33:38,1508.037,0.0,1508.037,No
Zone-1,21.269862,81.627105,0,0.081,27.41,2025-05-10 15:10:09,143.081,15523.538,15666.619,No
Zone-9,21.266848,81.610845,1,8.137,115.56,2025-07-12 11:31:14,2479.464,0.0,2479.464,Yes
Zone-8,21.233089,81.625509,0,0.027,21.48,2025-03-17 08:21:42,65.239,8289.24,8354.48,No
Zone-9,21.279239,81.607344,0,0.077,14.61,2025-01-06 17:33:11,87.766,1664.897,1752.663,No
Zone-5,21.24882,81.612843,0,0.031,22.54,2025-09-30 21:37:38,-293.106,29603.718,29310.612,No
Zone-12,21.246273,81.656393,0,0.109,27.42,2025-02-20 15:11:04,886.222,8759.892,9646.114,No
Zone-10,21.243531,81.643395,0,0.08,26.89,2025-05-20 00:27:37,3.133,28840.094,28843.226,No
Zone-11,21.259781,81.599617,0,0.058,18.42,2025-08-22 02:24:51,105.63,8260.347,8365.976,No
Zone-2,21.242094,81.618469,0,0.022,21.9,2025-07-04 19:17:12,-13.912,9793.007,9779.095,No
Zone-1,21.273421,81.627548,0,0.077,12.08,2025-08-05 11:23:54,59.54,9629.964,9689.504,No
Zone-1,21.261585,81.629427,1,2.861,47.43,2025-06-21 06:46:38,5075.928,0.0,5075.928,No
Zone-10,21.241902,81.643455,0,0.005,18.41,2025-03-01 14:08:50,4.482,15569.468,15573.95,No
Zone-12,21.23968,81.6506,0,0.102,25.14,2025-04-06 18:59:00,159.378,10522.312,10681.69,No
Zone-9,21.272855,81.606765,1,5.556,112.94,2025-06-15 00:28:51,6938.278,0.0,6938.278,Yes
Zone-4,21.234137,81.643846,0,0.051,26.39,2025-10-23 19:31:30,178.81,3595.251,3774.061,No
Zone-6,21.277889,81.615377,0,0.042,23.14,2025-01-26 00:30:29,157.799,6533.181,6690.98,No
Zone-2,21.245276,81.615354,0,0.116,16.55,2025-02-20 06:09:03,686.91,19963.149,20650.059,No
Zone-11,21.265091,81.593684,0,0.088,25.8,2025-05-20 12:32:30,328.033,3145.44,3473.473,No
Zone-11,21.267133,81.60909,0,0.015,15.3,2025-10-27 19:27:58,-23.64,20131.847,20108.207,No
Zone-4,21.224428,81.637618,0,0.055,16.46,2025-11-02 21:49:12,346.527,7474.064,7820.591,No
Zone-5,21.247927,81.613797,0,0.028,25.47,2025-07-28 01:26:27,74.657,4417.846,4492.503,No
Zone-11,21.257229,81.599782,0,0.115,15.37,2025-01-30 06:20:36,248.881,2713.686,2962.566,No
Zone-11,21.258409,81.60001,0,0.094,11.13,2025-07-13 05:14:55,110.095,4860.815,4970.911,No
Zone-5,21.25855,81.618043,0,0.01,27.95,2025-08-16 00:29:41,-168.087,16976.801,16808.714,No
Zone-12,21.240796,81.652275,0,0.006,19.21,2025-03-26 08:57:43,80.31,3983.226,4063.536,No
Zone-4,21.231074,81.646052,0,0.113,26.06,2025-05-21 03:39:19,180.149,1662.38,1842.529,No
Zone-10,21.242495,81.651321,0,0.072,11.5,2025-10-29 14:22:02,451.764,5699.018,6150.782,No
Zone-2,21.241486,81.617122,0,0.059,28.96,2025-04-25 14:37:43,206.712,5219.599,5426.311,No
Zone-1,21.263774,81.634347,0,0.054,26.11,2025-04-26 02:57:53,586.806,18106.573,18693.378,No
Zone-9,21.269482,81.612319,0,0.103,12.41,2025-01-15 06:02:31,563.012,16907.946,17470.958,No
Zone-6,21.28162,81.626075,0,0.016,26.06,2025-03-23 11:08:00,-53.667,5420.368,5366.701,No
Zone-9,21.268201,81.610912,0,0.065,25.33,2025-05-28 23:55:17,265.256,5822.032,6087.288,No
Zone-9,21.27119,81.611565,1,0.146,24.71,2025-08-17 14:48:30,498.488,3439.7,3938.188,No
Zone-6,21.282321,81.619584,1,4.327,63.9,2025-07-10 06:30:18,16459.952,2526.846,18986.798,No
Zone-7,21.249671,81.603223,1,9.752,83.31,2025-06-11 10:28:24,18582.037,0.0,18582.037,Yes
Zone-12,21.243725,81.657623,0,0.052,10.71,2025-01-14 08:06:28,304.231,8195.842,8500.073,No
Zone-4,21.233834,81.648312,0,0.053,15.56,2025-02-09 23:17:08,-94.802,24443.633,24348.831,No
Zone-3,21.273305,81.640188,0,0.114,24.45,2025-02-12 03:56:48,61.569,2087.494,2149.063,No
Zone-3,21.265475,81.644611,0,0.086,12.21,2025-04-22 20:27:18,592.598,3255.405,3848.003,No
Zone-7,21.25862,81.602507,1,1.465,60.76,2025-04-28 02:30:10,9847.068,18492.744,28339.812,No
Zone-12,21.236428,81.653661,0,0.013,11.03,2025-09-23 11:07:33,-140.574,16133.731,15993.156,No
Zone-3,21.272397,81.647051,0,0.012,20.49,2025-07-29 11:22:36,173.046,8017.974,8191.02,No
Zone-3,21.274995,81.651404,0,0.031,10.07,2025-08-31 17:37:50,-151.222,15273.453,15122.23,No
Zone-10,21.24616,81.648895,0,0.001,10.53,2025-05-14 04:03:45,205.148,5044.122,5249.27,No
Zone-7,21.246426,81.612119,1,0.613,76.22,2025-05-06 21:55:43,1339.306,0.0,1339.306,No
